confidence,last_seen,observed,relationship,source,target,weight,evidence_id,evidence_origin,mapping_basis
,,1,contributes_to,METRIC:CWLC,SCORE:SACI,0.3,EV-79233f3dc7737898,canonical_edge_row_2,
,,1,contributes_to,METRIC:CAC,SCORE:SACI,0.25,EV-59a746daaf2df71a,canonical_edge_row_3,
,,1,contributes_to,METRIC:MDC,SCORE:SACI,0.2,EV-9ac3fef9ef011101,canonical_edge_row_4,
,,1,contributes_to,METRIC:CTIC,SCORE:SACI,0.15,EV-f6bee8073f0477c8,canonical_edge_row_5,
,,1,contributes_to,METRIC:TF,SCORE:SACI,0.1,EV-1b02ace40bf56c86,canonical_edge_row_6,
high,2026-06-27T18:34:56.082605+00:00,1,emits,ASSET:A01,LOGSOURCE:Security,5.0,EV-77382a9da1f33ad9,canonical_edge_row_7,
high,2026-06-27T18:34:56.082605+00:00,1,collected_by,LOGSOURCE:Security,PLATFORM:Wazuh,1.0,EV-f8e78d13f88bccc6,canonical_edge_row_8,
high,2026-07-08T15:18:37.603129+00:00,1,emits,ASSET:A01,LOGSOURCE:Sysmon,4.0,EV-2a514dfaec9f7057,canonical_edge_row_9,
high,2026-07-08T15:18:37.603129+00:00,1,collected_by,LOGSOURCE:Sysmon,PLATFORM:Wazuh,1.0,EV-d59d9b91bfccfc1e,canonical_edge_row_10,
high,2026-06-27T18:34:56.082605+00:00,1,emits,ASSET:A02,LOGSOURCE:ossec,2.0,EV-890279fb8a6a7e2b,canonical_edge_row_11,
high,2026-06-27T18:34:56.082605+00:00,1,collected_by,LOGSOURCE:ossec,PLATFORM:Wazuh,1.0,EV-415582a4a8754e79,canonical_edge_row_12,
high,2026-07-08T23:21:03.579315+00:00,1,emits,ASSET:A02,LOGSOURCE:misp_enrichment,4.0,EV-3cc6ace28995a9e9,canonical_edge_row_13,
high,2026-07-08T23:21:03.579315+00:00,1,collected_by,LOGSOURCE:misp_enrichment,PLATFORM:Wazuh,1.0,EV-c36a661b27c7f6f9,canonical_edge_row_14,
high,2026-06-27T18:34:56.082605+00:00,1,emits,ASSET:A03,LOGSOURCE:misp_api,4.0,EV-8418b056ffeb81ee,canonical_edge_row_15,
high,2026-06-27T18:34:56.082605+00:00,1,collected_by,LOGSOURCE:misp_api,PLATFORM:Wazuh,1.0,EV-73b46b9d1eb1c869,canonical_edge_row_16,
high,2026-06-27T18:34:56.149396+00:00,1,emits,ASSET:A07,LOGSOURCE:pfsense_syslog,5.0,EV-07f0986975289600,canonical_edge_row_17,
high,2026-06-27T18:34:56.149396+00:00,1,collected_by,LOGSOURCE:pfsense_syslog,PLATFORM:Wazuh,1.0,EV-1ac7e70769d0afcb,canonical_edge_row_18,
high,2026-07-08T12:01:05+00:00,1,emits,ASSET:A04,LOGSOURCE:Security,4.0,EV-fd1bf63a2e8717f6,canonical_edge_row_19,
high,2026-07-08T12:01:05+00:00,1,collected_by,LOGSOURCE:Security,PLATFORM:Wazuh,1.0,EV-d68d226443150a57,canonical_edge_row_20,
high,2026-07-08T12:01:09+00:00,1,emits,ASSET:A04,LOGSOURCE:Sysmon,3.0,EV-97e6be46f1839ab8,canonical_edge_row_21,
high,2026-07-08T12:01:09+00:00,1,collected_by,LOGSOURCE:Sysmon,PLATFORM:Wazuh,1.0,EV-629bf68a61f19d2b,canonical_edge_row_22,
high,2026-07-08T23:21:03.579315+00:00,1,emits,ASSET:A04,LOGSOURCE:PowerShell,3.0,EV-9d55071dd7a0da38,canonical_edge_row_23,
high,2026-07-08T23:21:03.579315+00:00,1,collected_by,LOGSOURCE:PowerShell,PLATFORM:Wazuh,1.0,EV-2a9a5925e6627d98,canonical_edge_row_24,
high,2026-07-08T12:01:02+00:00,1,emits,ASSET:A05,LOGSOURCE:authlog,4.0,EV-67d6663872bda924,canonical_edge_row_25,
high,2026-07-08T12:01:02+00:00,1,collected_by,LOGSOURCE:authlog,PLATFORM:Wazuh,1.0,EV-478214df39d865e9,canonical_edge_row_26,
high,2026-07-08T12:01:03+00:00,1,emits,ASSET:A05,LOGSOURCE:syslog,2.0,EV-404c6cab3ba3dadc,canonical_edge_row_27,
high,2026-07-08T12:01:03+00:00,1,collected_by,LOGSOURCE:syslog,PLATFORM:Wazuh,1.0,EV-9577c2d86351eb61,canonical_edge_row_28,
high,2026-07-08T12:01:04+00:00,1,emits,ASSET:A05,LOGSOURCE:process,3.0,EV-4e8b8d8384ab52d9,canonical_edge_row_29,
high,2026-07-08T12:01:04+00:00,1,collected_by,LOGSOURCE:process,PLATFORM:Wazuh,1.0,EV-a023364e8e6cd10f,canonical_edge_row_30,
,,1,protected_by,ASSET:A01,CONTROL:C001,1.0,EV-018a1635405415c4,canonical_edge_row_31,
,,1,uses_log_source,CONTROL:C001,LOGSOURCE:Sysmon,1.0,EV-1d4211338c11e0c1,canonical_edge_row_32,
,,1,produces_rule,CONTROL:C001,RULE:110006,1.0,EV-ed9941f90967ea77,canonical_edge_row_33,
,,1,alerted_in,RULE:110006,PLATFORM:Wazuh,1.0,EV-b3b4caf475c131d8,canonical_edge_row_34,
,,1,detects_technique,CONTROL:C001,MITRE:T1071.004,1.0,EV-774921a898fd5966,canonical_edge_row_35,
,,1,protected_by,ASSET:A01,CONTROL:C002,1.0,EV-1243e7482dce2418,canonical_edge_row_36,
,,1,uses_log_source,CONTROL:C002,LOGSOURCE:Sysmon,1.0,EV-27d1a9a93a50b9fa,canonical_edge_row_37,
,,1,produces_rule,CONTROL:C002,RULE:110005,1.0,EV-47a3f3da2ae9a72f,canonical_edge_row_38,
,,1,alerted_in,RULE:110005,PLATFORM:Wazuh,1.0,EV-4b83ff91adbe11ee,canonical_edge_row_39,
,,1,detects_technique,CONTROL:C002,MITRE:T1071.004,1.0,EV-093e8735a40f9158,canonical_edge_row_40,
