id,label,type
platform:Wazuh,Wazuh,platform
platform:MISP,MISP,platform
score:SACI,SACI,score
asset:A01,A01,asset
logsource:Security,Security,logsource
logsource:Sysmon,Sysmon,logsource
asset:A02,A02,asset
logsource:ossec,ossec,logsource
logsource:misp_enrichment,misp_enrichment,logsource
asset:A03,CTI01,asset
logsource:misp_api,misp_api,logsource
asset:A07,A07,asset
logsource:pfsense_syslog,pfsense_syslog,logsource
asset:A04,A04,asset
logsource:PowerShell,PowerShell,logsource
asset:A05,A05,asset
logsource:authlog,authlog,logsource
logsource:syslog,syslog,logsource
logsource:process,process,logsource
control:C001,C001,control
rule:110006,110006,wazuh_rule
mitre:T1071.004,T1071.004,mitre
control:C002,C002,control
rule:110005,110005,wazuh_rule
control:C003,C003,control
rule:92057,92057,wazuh_rule
mitre:T1059.001,T1059.001,mitre
control:C004,C004,control
rule:92052,92052,wazuh_rule
mitre:T1059.003,T1059.003,mitre
control:C005,C005,control
rule:60106,60106,wazuh_rule
mitre:T1078,T1078,mitre
control:C006,C006,control
logsource:Wazuh,Wazuh,logsource
rule:110100,110100,wazuh_rule
control:C007,C007,control
rule:110010,110010,wazuh_rule
mitre:T1087,T1087,mitre
control:C008,C008,control
rule:110011,110011,wazuh_rule
mitre:T1482,T1482,mitre
control:C009,C009,control
rule:110012,110012,wazuh_rule
mitre:T1016,T1016,mitre
control:C010,C010,control
rule:110013,110013,wazuh_rule
mitre:T1105,T1105,mitre
control:C011,C011,control
rule:110014,110014,wazuh_rule
mitre:T1135,T1135,mitre
control:C012,C012,control
mitre:T1018,T1018,mitre
control:C013,C013,control
mitre:T1049,T1049,mitre
control:C014,C014,control
rule:110200,110200,wazuh_rule
mitre:T1046,T1046,mitre
control:C015,C015,control
rule:110201,110201,wazuh_rule
control:C016,C016,control
rule:110203,110203,wazuh_rule
mitre:T1071.001,T1071.001,mitre
control:C017,C017,control
rule:110223,110223,wazuh_rule
control:C018,C018,control
rule:110220,110220,wazuh_rule
control:C019,C019,control
rule:110222,110222,wazuh_rule
control:C020,C020,control
rule:110230,110230,wazuh_rule
mitre:T1110,T1110,mitre
control:C021,C021,control
rule:110231,110231,wazuh_rule
mitre:T1082,T1082,mitre
control:C022,C022,control
rule:110232,110232,wazuh_rule
control:C023,C023,control
rule:110240,110240,wazuh_rule
control:C024,C024,control
rule:110241,110241,wazuh_rule
control:C025,C025,control
rule:110242,110242,wazuh_rule
control:C026,C026,control
rule:110243,110243,wazuh_rule
control:C027,C027,control
rule:110244,110244,wazuh_rule
ioc:cti-test.example.com,cti-test.example.com,ioc
ioc:203.0.113.66,203.0.113.66,ioc
metric:LC,LC,metric
metric:CAC,CAC,metric
metric:MDC,MDC,metric
metric:CTIC,CTIC,metric
metric:TF,TF,metric
metric:SACI,SACI,metric
control:C900,C900,control
rule:119900,119900,wazuh_rule
mitre:T1027,T1027,mitre
