applicable,confidence,covered,criticality,cti_type,description,enabled,id,ip,label,role,scope,score,seen,source_weight,subtype,tactic,technique_name,type,version,weight
,,,,,,,PLATFORM:Wazuh,,Wazuh SIEM,,,,,,,,,platform,,
,,,,,,,PLATFORM:MISP,,MISP CTI,,,,,,,,,platform,,
,,,,,,,INTEGRATION:custom-misp,,custom-misp,,,,,,,,,integration,,
,,,,,,,SCORE:SACI,,SACI Score,,,,,,,,,score,v2,
1,,,,,,,METRIC:CWLC,,CWLC,,,100.0,,,,,,metric,,0.3
1,,,,,,,METRIC:CAC,,CAC,,,100.0,,,,,,metric,,0.25
1,,,,,,,METRIC:MDC,,MDC,,,100.0,,,,,,metric,,0.2
1,,,,,,,METRIC:CTIC,,CTIC,,,100.0,,,,,,metric,,0.15
1,,,,,,,METRIC:TF,,TF,,,100,,,,,,metric,,0.1
1,,,,,,,METRIC:SACI,,SACI,,,100.0,,,,,,metric,,1.0
,,,5,,,,ASSET:A01,192.168.1.10,DC01,Domain Controller,,,,,,,,asset,,
,,,5,,,,ASSET:A02,192.168.1.100,WSIEM,Wazuh SIEM,,,,,,,,asset,,
,,,4,,,,ASSET:A03,192.168.1.101,CTI01,MISP CTI Platform,,,,,,,,asset,,
,,,5,,,,ASSET:A07,192.168.1.1,FW01-PFSENSE,Firewall,,,,,,,,asset,,
,,,4,,,,ASSET:A04,192.168.1.111,WS01,Windows workstation endpoint,,,,,,,,asset,,
,,,4,,,,ASSET:A05,192.168.1.121,uhost,Ubuntu Linux endpoint,,,,,,,,asset,,
,,,,,,,LOGSOURCE:Security,,Security,,,,,4.0,,,,log_source,,
,,,,,,,LOGSOURCE:Sysmon,,Sysmon,,,,,3.0,,,,log_source,,
,,,,,,,LOGSOURCE:ossec,,ossec,,,,,2.0,,,,log_source,,
,,,,,,,LOGSOURCE:misp_enrichment,,misp_enrichment,,,,,4.0,,,,log_source,,
,,,,,,,LOGSOURCE:misp_api,,misp_api,,,,,4.0,,,,log_source,,
,,,,,,,LOGSOURCE:pfsense_syslog,,pfsense_syslog,,,,,5.0,,,,log_source,,
,,,,,,,LOGSOURCE:PowerShell,,PowerShell,,,,,3.0,,,,log_source,,
